City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
251,la mojonera,37.2923,-2.4373,11.68,48,100,1.78,ES,2023-10-30 01:14:00
252,alofi,-19.0595,-169.9187,24.01,83,3,10.3,NU,2023-10-30 01:08:55
253,melfort,52.8667,-104.6177,-2.93,68,91,3.6,CA,2023-10-30 01:14:00
254,san julian,21.0167,-102.1667,18.78,54,63,0.68,MX,2023-10-30 01:14:01
255,grand-bassam,5.2118,-3.7388,23.98,87,5,0.81,CI,2023-10-30 01:14:01
256,richards bay,-28.783,32.0377,15.54,63,97,6.22,ZA,2023-10-30 01:14:01
257,twon-brass,4.3151,6.2418,25.33,83,100,1.95,NG,2023-10-30 01:08:16
258,tabas,33.5959,56.9244,26.28,24,6,0.97,IR,2023-10-30 01:14:02
259,fairfield glade,36.0004,-84.8863,17.04,76,20,3.09,US,2023-10-30 01:14:02
260,naze,28.3667,129.4833,21.26,67,29,4.01,JP,2023-10-30 01:07:43
261,guerrero negro,27.9769,-114.0611,20.25,49,0,2.49,MX,2023-10-30 01:06:04
262,auki,-8.7676,160.7034,28.22,79,89,1.06,SB,2023-10-30 01:14:04
263,yuci,37.6803,112.7319,20.86,23,0,2.0,CN,2023-10-30 01:14:04
264,geraldton,-28.7667,114.6,23.23,53,1,9.26,AU,2023-10-30 01:06:47
265,palikir - national government center,6.9248,158.1611,28.41,79,100,3.6,FM,2023-10-30 01:14:04
266,san antonio oeste,-40.7319,-64.9477,10.17,30,6,8.61,AR,2023-10-30 01:14:05
267,roshchino,60.2519,29.6085,-0.45,88,100,4.27,RU,2023-10-30 01:14:05
268,dana point,33.467,-117.6981,21.47,17,0,3.58,US,2023-10-30 01:14:06
269,airuk,7.2772,168.8203,28.42,79,98,6.28,MH,2023-10-30 01:14:06
270,kota tinggi,1.7381,103.8999,33.52,64,87,1.58,MY,2023-10-30 01:14:06
271,gela,37.0803,14.2307,20.71,68,92,3.65,IT,2023-10-30 01:13:30
272,araguaina,-7.1911,-48.2072,27.82,44,48,1.82,BR,2023-10-30 01:14:07
273,villa angela,-27.5738,-60.7153,25.27,77,79,3.23,AR,2023-10-30 01:14:07
274,las heras,-46.5419,-68.9359,3.38,66,70,1.12,AR,2023-10-30 01:14:07
275,bodo,67.28,14.405,-3.46,81,0,8.23,NO,2023-10-30 01:14:08
276,antofagasta,-23.65,-70.4,15.6,82,33,3.57,CL,2023-10-30 01:04:48
277,pariaman,-0.619,100.12,27.97,74,80,3.03,ID,2023-10-30 01:14:08
278,bahar,34.9072,48.4414,10.09,37,0,1.03,IR,2023-10-30 01:14:09
279,nuuk,64.1835,-51.7216,7.34,42,100,11.83,GL,2023-10-30 01:08:55
280,qoryooley,1.7878,44.53,26.38,76,90,2.34,SO,2023-10-30 01:14:09
281,ravar,31.2656,56.8055,23.55,26,4,0.67,IR,2023-10-30 01:14:10
282,pangoa,-12.1167,-73.0,20.62,100,100,0.1,PE,2023-10-30 01:14:10
283,west helena,34.5507,-90.6418,11.82,84,100,6.54,US,2023-10-30 01:14:10
284,palo santo,-25.5633,-59.3378,23.09,95,80,1.33,AR,2023-10-30 01:14:11
285,pimentel,-6.8367,-79.9342,20.16,83,0,6.17,PE,2023-10-30 01:14:11
286,nikolayevsk-on-amure,53.1406,140.73,4.86,49,23,1.97,RU,2023-10-30 01:09:15
287,fale old settlement,-9.3852,-171.2468,28.84,75,74,5.82,TK,2023-10-30 01:07:47
288,sittwe,20.15,92.9,29.08,68,76,0.5,MM,2023-10-30 01:07:20
289,gargalianoi,37.0667,21.6333,18.53,75,0,1.44,GR,2023-10-30 01:14:13
290,qamdo,31.1667,97.2333,3.4,25,92,1.74,CN,2023-10-30 01:06:54
291,loango,-4.6719,11.8312,26.81,89,75,4.63,CG,2023-10-30 01:14:13
292,chonchi,-42.6128,-73.8092,4.56,96,100,2.1,CL,2023-10-30 01:07:15
293,palmer,42.1584,-72.3287,8.47,84,100,2.57,US,2023-10-30 01:07:23
294,huancabamba,-5.2386,-79.4506,15.5,89,100,0.41,PE,2023-10-30 01:14:14
295,lazaro cardenas,17.9583,-102.2,26.2,85,75,1.97,MX,2023-10-30 01:07:06
296,benguela,-12.5763,13.4055,23.92,87,43,0.93,AO,2023-10-30 01:07:10
